Month,Day,Year
December,29,1970
December,20,1971
December,10,1972
November,26,1973
November,27,1974
November,30,1975
November,16,1976
November,11,1977
November,7,1978
October,29,1979
November,4,1980
November,11,1981
November,15,1982
November,14,1983
November,6,1984
November,4,1985
October,30,1986
October,23,1987
October,15,1988
October,11,1989
October,11,1990
October,10,1991
October,12,1992
October,12,1993
October,10,1994
October,4,1995
October,2,1996
September,29,1997
September,29,1998
September,29,1999
September,23,2000
September,22,2001
September,19,2002
September,9,2003
September,1,2004
August,25,2005
August,19,2006
August,14,2007
August,14,2008
August,18,2009
August,7,2010
August,4,2011
August,4,2012
August,3,2013
August,4,2014
August,5,2015
August,5,2016
August,1,2017
July,29,2018
July,29,2019
